@relation Hailfinder

@attribute WindFieldMt {Westerly,LVorOther}
@attribute MorningCIN {None,PartInhibit,Stifling,TotalInhibit}
@attribute VISCloudCov {Cloudy,PC,Clear}
@attribute IRCloudCover {Cloudy,PC,Clear}
@attribute AMInstabMt {None,Weak,Strong}
@attribute R5Fcst {NIL,SIG,SVR}
@attribute MountainFcst {NIL,SIG,SVR}
@attribute MeanRH {VeryMoist,Average,Dry}
@attribute MidLLapse {CloseToDryAd,Steep,ModerateOrLe}
@attribute RHRatio {MoistMDryL,DryMMoistL,Other}
@attribute LoLevMoistAd {StrongPos,WeakPos,Neutral,Negative}
@attribute LowLLapse {CloseToDryAd,Steep,ModerateOrLe,Stable}
@attribute MvmtFeatures {StrongFront,MarkedUpper,OtherRapid,NoMajor}
@attribute TempDis {QStationary,Moving,None,Other}
@attribute WindAloft {LV,SWQuad,NWQuad,AllElse}
@attribute AMCINInScen {LessThanAve,Average,MoreThanAve}
@attribute CapChange {Decreasing,LittleChange,Increasing}
@attribute SynForcng {SigNegative,NegToPos,SigPositive,PosToNeg,LittleChange}
@attribute SatContMoist {VeryWet,Wet,Neutral,Dry}
@attribute RaoContMoist {VeryWet,Wet,Neutral,Dry}
@attribute CombMoisture {VeryWet,Wet,Neutral,Dry}
@attribute LatestCIN {None,PartInhibit,Stifling,TotalInhibit}
@attribute LLIW {Unfavorable,Weak,Moderate,Strong}
@attribute Date {May15_Jun14,Jun15_Jul1,Jul2_Jul15,Jul16_Aug10,Aug11_Aug20,Aug20_Sep15}
@attribute WindFieldPln {LV,DenvCyclone,LongAnticyc,E_NE,SEQuad,WidespdDnsl}
@attribute Dewpoints {LowEvrywhere,LowAtStation,LowSHighN,LowNHighS,LowMtsHighPl,HighEvrywher,Other}
@attribute SfcWndShfDis {DenvCyclone,E_W_N,E_W_S,MovingFtorOt,DryLine,None,Other}
@attribute InsChange {Decreasing,LittleChange,Increasing}
@attribute MorningBound {None,Weak,Strong}
@attribute OutflowFrMt {None,Weak,Strong}
@attribute WndHodograph {DCVZFavor,StrongWest,Westerly,Other}
@attribute N34StarFcst {NIL,SIG,SVR}
@attribute AreaMoDryAir {VeryWet,Wet,Neutral,Dry}
@attribute CombClouds {Cloudy,PC,Clear}
@attribute ScenRelAMCIN {AB,CThruK}
@attribute LIfr12ZDENSd {LIGt0,N1GtLIGt_4,N5GtLIGt_8,LILt_8}
@attribute AMDewptCalPl {Instability,Neutral,Stability}
@attribute AMInsWliScen {LessUnstable,Average,MoreUnstable}
@attribute N0_7muVerMo {StrongUp,WeakUp,Neutral,Down}
@attribute SubjVertMo {StronUp,WeakUp,Neutral,Down}
@attribute QGVertMotion {StrongUp,WeakUp,Neutral,Down}
@attribute CombVerMo {StrongUp,WeakUp,Neutral,Down}
@attribute AreaMeso_ALS {StrongUp,WeakUp,Neutral,Down}
@attribute CldShadeOth {Cloudy,PC,Clear}
@attribute Boundaries {None,Weak,Strong}
@attribute CldShadeConv {None,Some,Marked}
@attribute InsInMt {None,Weak,Strong}
@attribute ScenRel3_4 {ACEFK,B,D,GJ,HI}
@attribute ScenRelAMIns {ABI,CDEJ,F,G,H,K}
@attribute CompPlFcst {IncCapDecIns,LittleChange,DecCapIncIns}
@attribute CurPropConv {None,Slight,Moderate,Strong}
@attribute Scenario {A,B,C,D,E,F,G,H,I,J,K}
@attribute CapInScen {LessThanAve,Average,MoreThanAve}
@attribute InsSclInScen {LessUnstable,Average,MoreUnstable}
@attribute ScnRelPlFcst {A,B,C,D,E,F,G,H,I,J,K}
@attribute PlainsFcst {NIL,SIG,SVR}

@data
Westerly,PartInhibit,Cloudy,Clear,Weak,SIG,SIG,Dry,CloseToDryAd,MoistMDryL,Neutral,CloseToDryAd,StrongFront,None,SWQuad,Average,LittleChange,LittleChange,Neutral,Wet,Neutral,None,Moderate,Jul2_Jul15,LongAnticyc,LowAtStation,Other,Increasing,None,Strong,Westerly,NIL,Wet,Cloudy,CThruK,N5GtLIGt_8,Instability,LessUnstable,WeakUp,Neutral,Neutral,WeakUp,WeakUp,Cloudy,Strong,None,Strong,GJ,G,LittleChange,Strong,G,Average,LessUnstable,G,NIL
Westerly,TotalInhibit,Clear,Clear,None,SIG,SIG,VeryMoist,Steep,DryMMoistL,StrongPos,ModerateOrLe,StrongFront,Other,AllElse,Average,Increasing,LittleChange,VeryWet,VeryWet,VeryWet,PartInhibit,Weak,Jul16_Aug10,LV,LowAtStation,DenvCyclone,Increasing,None,Strong,StrongWest,SIG,VeryWet,Clear,AB,N5GtLIGt_8,Stability,MoreUnstable,Neutral,StronUp,StrongUp,WeakUp,WeakUp,PC,Weak,Some,Weak,B,ABI,IncCapDecIns,None,B,MoreThanAve,MoreUnstable,B,SIG
LVorOther,Stifling,Clear,PC,Strong,SIG,SIG,Dry,ModerateOrLe,MoistMDryL,WeakPos,ModerateOrLe,OtherRapid,None,NWQuad,MoreThanAve,Increasing,SigNegative,Neutral,Neutral,Neutral,PartInhibit,Strong,May15_Jun14,WidespdDnsl,HighEvrywher,None,Increasing,Weak,Strong,Other,NIL,Wet,PC,CThruK,N1GtLIGt_4,Instability,MoreUnstable,WeakUp,WeakUp,StrongUp,WeakUp,WeakUp,Cloudy,Weak,None,Strong,ACEFK,K,IncCapDecIns,Slight,K,MoreThanAve,MoreUnstable,K,SIG
Westerly,PartInhibit,PC,PC,None,SIG,NIL,VeryMoist,Steep,MoistMDryL,Neutral,ModerateOrLe,StrongFront,None,NWQuad,Average,Increasing,SigPositive,Neutral,Neutral,Neutral,PartInhibit,Weak,Jul2_Jul15,LV,Other,MovingFtorOt,Decreasing,None,None,Westerly,SIG,Dry,PC,CThruK,N5GtLIGt_8,Neutral,MoreUnstable,WeakUp,Down,Neutral,Down,Down,PC,None,None,None,ACEFK,K,IncCapDecIns,None,K,MoreThanAve,MoreUnstable,K,NIL
Westerly,PartInhibit,PC,PC,None,NIL,NIL,VeryMoist,ModerateOrLe,DryMMoistL,Neutral,Steep,StrongFront,Other,NWQuad,LessThanAve,LittleChange,SigNegative,Neutral,Neutral,Neutral,Stifling,Moderate,Jul2_Jul15,SEQuad,LowEvrywhere,E_W_S,LittleChange,Strong,None,DCVZFavor,NIL,Dry,Cloudy,CThruK,N1GtLIGt_4,Instability,Average,StrongUp,Down,Down,Down,Down,Cloudy,None,None,None,ACEFK,K,LittleChange,None,K,LessThanAve,Average,K,NIL
LVorOther,PartInhibit,Clear,Clear,None,NIL,NIL,Average,CloseToDryAd,DryMMoistL,WeakPos,CloseToDryAd,MarkedUpper,Other,NWQuad,Average,Decreasing,SigPositive,Wet,Neutral,Dry,PartInhibit,Weak,Aug11_Aug20,WidespdDnsl,LowNHighS,E_W_N,LittleChange,None,None,StrongWest,NIL,Wet,Clear,CThruK,N5GtLIGt_8,Instability,MoreUnstable,StrongUp,WeakUp,StrongUp,StrongUp,StrongUp,PC,None,None,None,ACEFK,CDEJ,DecCapIncIns,None,C,LessThanAve,MoreUnstable,C,NIL
LVorOther,PartInhibit,PC,Clear,Strong,NIL,NIL,Average,ModerateOrLe,MoistMDryL,Negative,Steep,NoMajor,None,LV,MoreThanAve,Decreasing,LittleChange,Wet,Wet,Wet,None,Strong,Aug20_Sep15,SEQuad,LowEvrywhere,E_W_N,LittleChange,Weak,Weak,Other,NIL,Neutral,Clear,CThruK,LILt_8,Instability,MoreUnstable,StrongUp,Neutral,Neutral,WeakUp,WeakUp,Clear,Weak,None,Strong,GJ,CDEJ,DecCapIncIns,Strong,J,Average,Average,J,NIL
LVorOther,PartInhibit,PC,Clear,Strong,SVR,SVR,Dry,CloseToDryAd,MoistMDryL,Negative,CloseToDryAd,OtherRapid,None,LV,Average,Increasing,SigNegative,Dry,Neutral,VeryWet,None,Weak,Jul2_Jul15,DenvCyclone,LowAtStation,E_W_N,Decreasing,None,None,Other,SVR,VeryWet,Cloudy,CThruK,LIGt0,Instability,MoreUnstable,Down,Neutral,Down,Neutral,Neutral,Cloudy,Weak,Some,Strong,GJ,G,IncCapDecIns,Moderate,G,MoreThanAve,LessUnstable,G,SIG
Westerly,TotalInhibit,Cloudy,Cloudy,Strong,NIL,NIL,Dry,ModerateOrLe,MoistMDryL,WeakPos,CloseToDryAd,NoMajor,None,SWQuad,MoreThanAve,Decreasing,LittleChange,Neutral,Wet,Neutral,None,Weak,Jul2_Jul15,LV,HighEvrywher,DryLine,LittleChange,None,Weak,DCVZFavor,NIL,Wet,Cloudy,CThruK,N1GtLIGt_4,Stability,LessUnstable,StrongUp,Neutral,Neutral,WeakUp,WeakUp,Cloudy,Weak,Some,Strong,ACEFK,CDEJ,DecCapIncIns,Moderate,E,MoreThanAve,LessUnstable,E,NIL
LVorOther,PartInhibit,PC,Clear,Weak,SIG,SIG,Average,Steep,MoistMDryL,WeakPos,ModerateOrLe,NoMajor,Other,LV,Average,LittleChange,LittleChange,Neutral,Neutral,Neutral,PartInhibit,Weak,Jul16_Aug10,SEQuad,LowSHighN,None,Increasing,Weak,None,Other,NIL,Neutral,Clear,CThruK,N1GtLIGt_4,Instability,MoreUnstable,WeakUp,Down,Down,Down,Down,Clear,Weak,None,Weak,GJ,CDEJ,LittleChange,None,J,MoreThanAve,MoreUnstable,J,NIL
Westerly,PartInhibit,Clear,PC,None,SVR,SVR,Dry,CloseToDryAd,MoistMDryL,WeakPos,CloseToDryAd,NoMajor,None,SWQuad,Average,Decreasing,LittleChange,Dry,Neutral,Wet,Stifling,Unfavorable,Aug20_Sep15,WidespdDnsl,LowEvrywhere,DryLine,Increasing,None,Weak,Westerly,SIG,Wet,Clear,CThruK,N1GtLIGt_4,Stability,LessUnstable,Neutral,Down,Neutral,Neutral,Neutral,Clear,Weak,Marked,Strong,GJ,G,DecCapIncIns,None,G,LessThanAve,Average,G,NIL
LVorOther,Stifling,PC,PC,Weak,SIG,SIG,Average,ModerateOrLe,Other,Negative,ModerateOrLe,NoMajor,None,NWQuad,Average,Increasing,NegToPos,VeryWet,Neutral,VeryWet,None,Moderate,May15_Jun14,SEQuad,LowMtsHighPl,MovingFtorOt,Decreasing,Weak,None,Other,NIL,VeryWet,PC,CThruK,N1GtLIGt_4,Stability,Average,StrongUp,Neutral,Neutral,StrongUp,StrongUp,Cloudy,Strong,Some,Strong,HI,H,IncCapDecIns,Strong,H,MoreThanAve,Average,H,NIL
LVorOther,Stifling,PC,Cloudy,Strong,SIG,SIG,Dry,Steep,DryMMoistL,WeakPos,Stable,MarkedUpper,Other,LV,LessThanAve,Increasing,LittleChange,Neutral,Neutral,Neutral,PartInhibit,Moderate,Jul16_Aug10,DenvCyclone,LowSHighN,DenvCyclone,LittleChange,Weak,Strong,Westerly,NIL,Neutral,Cloudy,AB,LIGt0,Instability,Average,Neutral,Neutral,Neutral,Neutral,Neutral,Cloudy,Strong,Marked,Strong,B,ABI,IncCapDecIns,None,B,LessThanAve,Average,B,NIL
LVorOther,PartInhibit,Clear,PC,Weak,NIL,NIL,Average,ModerateOrLe,DryMMoistL,WeakPos,Stable,MarkedUpper,QStationary,SWQuad,LessThanAve,Decreasing,LittleChange,Wet,Dry,Dry,PartInhibit,Moderate,Jul2_Jul15,DenvCyclone,HighEvrywher,MovingFtorOt,Decreasing,None,Weak,StrongWest,NIL,Neutral,PC,AB,LIGt0,Stability,LessUnstable,Down,Down,WeakUp,Neutral,Neutral,PC,Strong,Marked,Strong,B,ABI,DecCapIncIns,Moderate,B,LessThanAve,LessUnstable,B,NIL
Westerly,None,PC,Clear,Weak,NIL,NIL,Average,CloseToDryAd,DryMMoistL,WeakPos,ModerateOrLe,MarkedUpper,Moving,AllElse,LessThanAve,Increasing,SigPositive,Neutral,Neutral,Wet,Stifling,Unfavorable,Jun15_Jul1,WidespdDnsl,LowNHighS,Other,Increasing,None,Strong,Westerly,NIL,Neutral,PC,CThruK,N1GtLIGt_4,Stability,LessUnstable,StrongUp,WeakUp,Neutral,Neutral,Neutral,PC,Weak,Some,Strong,ACEFK,K,IncCapDecIns,None,K,MoreThanAve,Average,K,NIL
LVorOther,PartInhibit,PC,Clear,Weak,SIG,SIG,Average,ModerateOrLe,DryMMoistL,Negative,Steep,NoMajor,None,AllElse,LessThanAve,Decreasing,PosToNeg,Wet,Dry,Dry,PartInhibit,Weak,May15_Jun14,SEQuad,HighEvrywher,DenvCyclone,Decreasing,Weak,Strong,DCVZFavor,NIL,Dry,Clear,CThruK,N1GtLIGt_4,Stability,LessUnstable,Down,Neutral,Neutral,Neutral,Neutral,Clear,Strong,Marked,Strong,ACEFK,CDEJ,DecCapIncIns,None,E,LessThanAve,LessUnstable,E,NIL
LVorOther,PartInhibit,PC,Clear,None,NIL,NIL,VeryMoist,ModerateOrLe,Other,StrongPos,Steep,NoMajor,Other,SWQuad,LessThanAve,Increasing,SigPositive,Neutral,Neutral,Neutral,PartInhibit,Moderate,May15_Jun14,DenvCyclone,LowMtsHighPl,DenvCyclone,LittleChange,Weak,None,DCVZFavor,NIL,Wet,PC,AB,LIGt0,Instability,LessUnstable,WeakUp,StronUp,Neutral,WeakUp,WeakUp,Cloudy,Weak,None,None,B,ABI,IncCapDecIns,Strong,B,LessThanAve,LessUnstable,B,NIL
Westerly,Stifling,PC,PC,None,SIG,SIG,VeryMoist,CloseToDryAd,Other,StrongPos,Steep,MarkedUpper,Other,NWQuad,MoreThanAve,LittleChange,SigPositive,Neutral,Dry,Neutral,None,Moderate,May15_Jun14,WidespdDnsl,LowAtStation,E_W_S,Increasing,Strong,Strong,StrongWest,NIL,Neutral,PC,CThruK,N5GtLIGt_8,Neutral,MoreUnstable,Neutral,Down,Neutral,Neutral,Neutral,PC,Strong,None,Weak,ACEFK,CDEJ,LittleChange,Moderate,C,MoreThanAve,MoreUnstable,C,NIL
Westerly,None,Clear,PC,None,NIL,NIL,Average,Steep,Other,WeakPos,ModerateOrLe,OtherRapid,None,NWQuad,LessThanAve,Increasing,PosToNeg,Neutral,Neutral,Neutral,PartInhibit,Moderate,Aug20_Sep15,SEQuad,LowNHighS,MovingFtorOt,Increasing,None,None,Other,NIL,Neutral,Clear,CThruK,LIGt0,Instability,Average,Neutral,Neutral,Down,Down,Down,Clear,None,Marked,Strong,ACEFK,K,IncCapDecIns,None,K,MoreThanAve,MoreUnstable,K,NIL
Westerly,Stifling,PC,PC,Strong,SVR,SVR,Dry,CloseToDryAd,DryMMoistL,Negative,Steep,StrongFront,None,NWQuad,MoreThanAve,LittleChange,PosToNeg,Neutral,Dry,Dry,Stifling,Unfavorable,May15_Jun14,WidespdDnsl,Other,None,Decreasing,None,Strong,StrongWest,NIL,Dry,PC,CThruK,N5GtLIGt_8,Stability,MoreUnstable,Neutral,WeakUp,Neutral,WeakUp,WeakUp,PC,Weak,Marked,Strong,ACEFK,K,LittleChange,None,K,MoreThanAve,LessUnstable,K,NIL
LVorOther,Stifling,PC,Cloudy,Weak,SVR,NIL,Average,CloseToDryAd,DryMMoistL,Negative,CloseToDryAd,NoMajor,QStationary,LV,MoreThanAve,LittleChange,LittleChange,Dry,VeryWet,VeryWet,PartInhibit,Weak,May15_Jun14,LV,LowMtsHighPl,MovingFtorOt,Decreasing,None,None,Other,SVR,VeryWet,PC,CThruK,N5GtLIGt_8,Stability,LessUnstable,StrongUp,Neutral,StrongUp,StrongUp,StrongUp,Cloudy,Weak,None,Strong,HI,ABI,LittleChange,Slight,I,MoreThanAve,LessUnstable,I,SVR
LVorOther,Stifling,PC,PC,None,NIL,NIL,Dry,CloseToDryAd,DryMMoistL,StrongPos,ModerateOrLe,NoMajor,Other,LV,MoreThanAve,Increasing,LittleChange,Neutral,Dry,Neutral,None,Moderate,Jul16_Aug10,LV,LowAtStation,E_W_N,Increasing,None,None,DCVZFavor,NIL,Dry,PC,CThruK,N5GtLIGt_8,Stability,Average,Neutral,Down,Neutral,Down,Down,PC,None,None,None,GJ,CDEJ,IncCapDecIns,Moderate,J,MoreThanAve,Average,J,NIL
LVorOther,PartInhibit,Clear,PC,Strong,SVR,SVR,Average,ModerateOrLe,Other,Neutral,ModerateOrLe,NoMajor,Other,SWQuad,LessThanAve,LittleChange,PosToNeg,VeryWet,Dry,VeryWet,PartInhibit,Weak,Jul16_Aug10,DenvCyclone,LowSHighN,DenvCyclone,LittleChange,Strong,Weak,DCVZFavor,NIL,VeryWet,Clear,AB,LIGt0,Stability,LessUnstable,Neutral,StronUp,Down,Neutral,Neutral,Clear,Strong,Marked,Strong,B,ABI,LittleChange,None,B,LessThanAve,LessUnstable,B,NIL
LVorOther,None,PC,Clear,None,SIG,SIG,Dry,Steep,Other,StrongPos,Steep,NoMajor,Other,SWQuad,LessThanAve,Decreasing,PosToNeg,Dry,Neutral,VeryWet,PartInhibit,Moderate,Jun15_Jul1,LV,LowAtStation,Other,Increasing,Strong,None,Westerly,NIL,VeryWet,PC,CThruK,N1GtLIGt_4,Stability,LessUnstable,Neutral,Neutral,Down,Neutral,Neutral,PC,Strong,None,Weak,GJ,G,DecCapIncIns,Strong,G,LessThanAve,Average,G,NIL
LVorOther,TotalInhibit,Clear,PC,Strong,SVR,SVR,Average,ModerateOrLe,Other,Negative,Steep,MarkedUpper,Other,AllElse,MoreThanAve,Increasing,NegToPos,Neutral,VeryWet,Wet,PartInhibit,Strong,Aug20_Sep15,SEQuad,Other,DryLine,Decreasing,None,Weak,DCVZFavor,NIL,VeryWet,Clear,CThruK,N1GtLIGt_4,Neutral,LessUnstable,Neutral,Neutral,Neutral,Neutral,Neutral,Clear,Weak,Marked,Strong,ACEFK,K,IncCapDecIns,Strong,K,MoreThanAve,LessUnstable,K,NIL
LVorOther,Stifling,Clear,PC,Strong,SVR,SVR,VeryMoist,ModerateOrLe,Other,WeakPos,Stable,NoMajor,None,LV,MoreThanAve,LittleChange,SigPositive,Wet,VeryWet,Wet,Stifling,Weak,Jul2_Jul15,SEQuad,HighEvrywher,DenvCyclone,LittleChange,Weak,Strong,StrongWest,NIL,Wet,PC,CThruK,N1GtLIGt_4,Instability,MoreUnstable,Neutral,Neutral,Neutral,Neutral,Neutral,PC,Weak,Marked,Strong,ACEFK,F,LittleChange,None,F,MoreThanAve,MoreUnstable,F,NIL
LVorOther,TotalInhibit,Clear,Cloudy,None,NIL,NIL,Average,ModerateOrLe,MoistMDryL,Negative,CloseToDryAd,NoMajor,None,NWQuad,MoreThanAve,LittleChange,LittleChange,Neutral,Wet,Neutral,PartInhibit,Weak,Aug20_Sep15,LV,LowSHighN,E_W_N,Decreasing,None,Weak,Westerly,NIL,Neutral,PC,CThruK,N1GtLIGt_4,Stability,Average,StrongUp,StronUp,Down,WeakUp,WeakUp,PC,Weak,Some,Weak,ACEFK,CDEJ,LittleChange,None,E,MoreThanAve,LessUnstable,E,NIL
Westerly,Stifling,PC,PC,None,SIG,NIL,Average,CloseToDryAd,DryMMoistL,WeakPos,Steep,OtherRapid,Moving,SWQuad,LessThanAve,Decreasing,PosToNeg,Wet,Neutral,Wet,None,Moderate,Jul2_Jul15,DenvCyclone,LowMtsHighPl,DenvCyclone,Decreasing,None,None,StrongWest,SIG,VeryWet,PC,AB,N1GtLIGt_4,Instability,MoreUnstable,StrongUp,Down,StrongUp,WeakUp,WeakUp,PC,None,None,Weak,B,ABI,DecCapIncIns,Strong,B,LessThanAve,Average,B,SIG
Westerly,PartInhibit,Clear,Clear,None,NIL,NIL,Dry,CloseToDryAd,DryMMoistL,WeakPos,Steep,OtherRapid,None,LV,LessThanAve,Increasing,PosToNeg,Neutral,Dry,Dry,PartInhibit,Moderate,Jul2_Jul15,LongAnticyc,LowEvrywhere,E_W_N,Increasing,None,None,DCVZFavor,NIL,Neutral,Clear,CThruK,N5GtLIGt_8,Neutral,LessUnstable,StrongUp,WeakUp,Neutral,WeakUp,WeakUp,Clear,Weak,None,None,ACEFK,CDEJ,IncCapDecIns,Moderate,C,LessThanAve,LessUnstable,C,NIL
Westerly,PartInhibit,PC,Clear,Weak,SIG,SIG,Average,ModerateOrLe,MoistMDryL,Negative,Steep,NoMajor,None,LV,LessThanAve,Decreasing,LittleChange,Neutral,Neutral,Neutral,TotalInhibit,Strong,May15_Jun14,SEQuad,HighEvrywher,E_W_S,Decreasing,None,None,DCVZFavor,NIL,Neutral,PC,AB,N5GtLIGt_8,Neutral,Average,WeakUp,Neutral,Neutral,Neutral,Neutral,Clear,Weak,Some,Weak,B,ABI,DecCapIncIns,None,B,LessThanAve,LessUnstable,B,NIL
LVorOther,PartInhibit,PC,PC,Weak,SVR,SVR,Average,Steep,MoistMDryL,Neutral,CloseToDryAd,NoMajor,QStationary,NWQuad,LessThanAve,LittleChange,NegToPos,Neutral,Dry,Dry,Stifling,Weak,Jul2_Jul15,LongAnticyc,LowAtStation,E_W_N,Increasing,None,Strong,Westerly,NIL,Dry,PC,CThruK,N1GtLIGt_4,Instability,LessUnstable,Down,Neutral,Neutral,Down,Down,PC,Strong,Some,Strong,ACEFK,CDEJ,LittleChange,None,C,LessThanAve,Average,C,NIL
LVorOther,Stifling,PC,PC,Strong,SIG,SIG,Dry,ModerateOrLe,DryMMoistL,WeakPos,Steep,NoMajor,Other,SWQuad,Average,Increasing,LittleChange,Neutral,Dry,Dry,PartInhibit,Weak,May15_Jun14,E_NE,HighEvrywher,DenvCyclone,Increasing,None,Weak,StrongWest,NIL,Neutral,PC,AB,N5GtLIGt_8,Stability,LessUnstable,StrongUp,Neutral,Neutral,WeakUp,WeakUp,PC,Weak,Marked,Strong,B,ABI,IncCapDecIns,Slight,B,MoreThanAve,Average,B,NIL
Westerly,TotalInhibit,Clear,Clear,Weak,SVR,SVR,Dry,CloseToDryAd,MoistMDryL,Negative,CloseToDryAd,MarkedUpper,None,AllElse,MoreThanAve,LittleChange,PosToNeg,Neutral,VeryWet,Wet,None,Unfavorable,Jun15_Jul1,LongAnticyc,LowEvrywhere,Other,Decreasing,Strong,Weak,StrongWest,NIL,VeryWet,Clear,CThruK,N1GtLIGt_4,Stability,LessUnstable,WeakUp,Down,StrongUp,WeakUp,WeakUp,Clear,Strong,Marked,Strong,GJ,G,LittleChange,Slight,G,MoreThanAve,LessUnstable,G,NIL
LVorOther,TotalInhibit,PC,Clear,Weak,SIG,NIL,Dry,CloseToDryAd,Other,WeakPos,ModerateOrLe,MarkedUpper,Other,NWQuad,MoreThanAve,Increasing,NegToPos,VeryWet,Dry,Neutral,PartInhibit,Strong,Jun15_Jul1,WidespdDnsl,Other,E_W_S,Increasing,Weak,Weak,StrongWest,SIG,Wet,Clear,CThruK,N5GtLIGt_8,Neutral,Average,StrongUp,Down,Down,WeakUp,WeakUp,Clear,Weak,Marked,Weak,ACEFK,CDEJ,IncCapDecIns,Strong,C,MoreThanAve,Average,C,SIG
LVorOther,PartInhibit,PC,Cloudy,Weak,SIG,SIG,Average,ModerateOrLe,Other,Negative,Steep,MarkedUpper,QStationary,SWQuad,LessThanAve,LittleChange,SigNegative,Dry,Neutral,Dry,None,Weak,Jun15_Jul1,DenvCyclone,LowMtsHighPl,MovingFtorOt,Decreasing,Weak,Weak,Other,SIG,Dry,PC,AB,N1GtLIGt_4,Stability,Average,Neutral,StronUp,StrongUp,StrongUp,StrongUp,PC,None,None,Strong,ACEFK,ABI,LittleChange,Slight,A,LessThanAve,Average,A,NIL
Westerly,Stifling,PC,Cloudy,None,SVR,NIL,Dry,CloseToDryAd,Other,WeakPos,Steep,OtherRapid,None,NWQuad,Average,LittleChange,SigNegative,Neutral,Neutral,Neutral,None,Weak,Jun15_Jul1,LV,LowAtStation,None,Increasing,None,None,Other,SVR,Neutral,PC,CThruK,N1GtLIGt_4,Instability,MoreUnstable,Neutral,WeakUp,WeakUp,WeakUp,WeakUp,Clear,None,None,None,GJ,G,LittleChange,Slight,G,Average,MoreUnstable,G,SVR
Westerly,PartInhibit,PC,Cloudy,None,NIL,NIL,Average,ModerateOrLe,MoistMDryL,WeakPos,CloseToDryAd,NoMajor,None,SWQuad,Average,Increasing,LittleChange,Wet,Neutral,Wet,Stifling,Strong,Aug11_Aug20,E_NE,LowEvrywhere,DryLine,Decreasing,Weak,Strong,StrongWest,NIL,Wet,Cloudy,CThruK,N1GtLIGt_4,Instability,MoreUnstable,WeakUp,Down,Neutral,Neutral,Neutral,Cloudy,Weak,Some,Weak,ACEFK,CDEJ,IncCapDecIns,Moderate,E,MoreThanAve,Average,E,NIL
Westerly,PartInhibit,PC,Clear,Weak,SIG,NIL,Average,Steep,Other,Negative,ModerateOrLe,MarkedUpper,Moving,AllElse,Average,Increasing,PosToNeg,VeryWet,VeryWet,VeryWet,None,Moderate,Aug20_Sep15,LV,HighEvrywher,DenvCyclone,Decreasing,Strong,Weak,StrongWest,SIG,Wet,Clear,AB,N1GtLIGt_4,Neutral,LessUnstable,Neutral,Neutral,Down,Down,Down,Clear,Strong,Marked,Strong,B,ABI,IncCapDecIns,Strong,B,MoreThanAve,LessUnstable,B,SIG
LVorOther,Stifling,Clear,Clear,Strong,SVR,SVR,VeryMoist,ModerateOrLe,Other,Neutral,ModerateOrLe,NoMajor,None,AllElse,MoreThanAve,LittleChange,LittleChange,Wet,Neutral,Neutral,PartInhibit,Moderate,Jul16_Aug10,LV,HighEvrywher,DenvCyclone,Increasing,None,Strong,StrongWest,SVR,Neutral,Clear,CThruK,N5GtLIGt_8,Instability,MoreUnstable,WeakUp,Neutral,Down,Down,Down,Clear,Strong,Marked,Strong,ACEFK,F,LittleChange,None,F,MoreThanAve,MoreUnstable,F,SVR
Westerly,PartInhibit,PC,PC,Weak,SIG,SIG,VeryMoist,ModerateOrLe,DryMMoistL,Negative,Steep,MarkedUpper,Other,SWQuad,LessThanAve,Increasing,SigNegative,Dry,Dry,VeryWet,PartInhibit,Unfavorable,Jul16_Aug10,SEQuad,Other,DenvCyclone,Increasing,Strong,None,DCVZFavor,NIL,VeryWet,PC,AB,N1GtLIGt_4,Neutral,LessUnstable,StrongUp,Neutral,StrongUp,WeakUp,WeakUp,Clear,Weak,None,Weak,ACEFK,ABI,IncCapDecIns,None,A,MoreThanAve,Average,A,NIL
LVorOther,PartInhibit,Clear,PC,None,SIG,SIG,Average,CloseToDryAd,DryMMoistL,WeakPos,Steep,StrongFront,Other,AllElse,Average,Decreasing,PosToNeg,VeryWet,Dry,Wet,Stifling,Weak,May15_Jun14,LongAnticyc,LowAtStation,DryLine,LittleChange,Strong,Weak,Westerly,NIL,VeryWet,Clear,CThruK,N1GtLIGt_4,Stability,Average,StrongUp,Down,Neutral,WeakUp,WeakUp,Clear,Strong,None,Weak,ACEFK,K,DecCapIncIns,Slight,K,LessThanAve,Average,K,NIL
LVorOther,None,PC,PC,Strong,SIG,SIG,Average,ModerateOrLe,Other,Neutral,Stable,NoMajor,Other,AllElse,LessThanAve,Increasing,LittleChange,Wet,Neutral,Dry,PartInhibit,Moderate,May15_Jun14,DenvCyclone,HighEvrywher,Other,LittleChange,None,Weak,DCVZFavor,NIL,Dry,PC,AB,LIGt0,Instability,MoreUnstable,Down,WeakUp,WeakUp,WeakUp,WeakUp,PC,Weak,Marked,Strong,B,ABI,IncCapDecIns,None,B,MoreThanAve,MoreUnstable,B,NIL
LVorOther,None,PC,Clear,Strong,SVR,SVR,Average,Steep,Other,Negative,Stable,StrongFront,Moving,NWQuad,Average,Increasing,PosToNeg,Wet,Dry,Dry,PartInhibit,Moderate,May15_Jun14,LV,LowAtStation,DryLine,LittleChange,Strong,Strong,DCVZFavor,NIL,Wet,Clear,CThruK,N5GtLIGt_8,Instability,MoreUnstable,StrongUp,Neutral,Neutral,StrongUp,StrongUp,Cloudy,Strong,None,Strong,ACEFK,K,IncCapDecIns,Moderate,K,MoreThanAve,MoreUnstable,K,NIL
